uid,name,risk_threshold,repair_time,use_duration,initial_duration,next_duration,repair_skill,json_law,machine_id,phm_module_id
dev:8bf390583fd94e0392aeac3dc8fb7e93,Dv1,0.01,1.0,4596,4496,4606,R1,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:b655efe5b6d34f76874efd6cbaf3e090,phm:50d88c2354d34a9ba752518bc39df204
dev:8c0403b6f60f4008846edddc7c4587a6,Dv5,0.01,1.0,3163,3068,3173,R5,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:79253b1139894cfbb571e621d33d449d,phm:61d630c6c4014d7dbeff5bb078228dd8
dev:8c13cb27ead64ae2a376aeca921fcd71,Dv5,0.01,1.0,4343,4248,4353,R5,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:d8d6eee03b734a768b929a745c03b2b1,phm:80862ca6799c4199b448c87f5c638612
dev:8c14c7eced824c4387190fd466c578d5,Dv5,0.01,1.0,6115,6020,6125,R5,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:09ee2fa6b163492094a86372f16b7b16,phm:9b958afdceaa46e6a3b927b79ed29863
dev:8c17db956e354a0e85847329b8b5e7e4,Dv9,0.01,1.0,7360,7260,7370,R9,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:619187277e2d4be385d47122f98bde42,phm:86676fc1f5d648e182f0758590c89152
dev:8c1d9f5781674e8a9465e2b015ee77be,Dv13,0.01,1.0,678,588,688,R13,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:c00e8c6f7e6949c99d53258246198d83,phm:791e3a45aa004d26968668e20cbc4cbf
dev:8c20fd3a2b8b436297e2db476c72d4a4,Dv11,0.01,1.0,415,320,420,R11,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:489237554a414486b760cce146753065,phm:983d67b150084ebaaf93e0e72c0eba0d
dev:8c23dd517c584ea89bb696b810c4da4a,Dv9,0.01,1.0,3531,3436,3541,R9,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:21998bde8e19458e87e0eec673afdd2c,phm:f15da7a0f7b84f8b9c011e6edaacaae7
dev:8c2e4338953d4ad1b0b84864b043b660,Dv1,0.01,1.0,1698,1608,1708,R1,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:243570ae3cd340b1987524ae66dfd5cf,phm:b991c9d4495b4e55a78cba09160fed21
dev:8c34848d5efd44ef84ba79c5454410e5,Dv13,0.01,1.0,407,312,412,R13,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:64e5f16ee95b4aa49ed8a288bc5b1714,phm:47aec428649146fb996477e3931821ac
dev:8c3d20bf77234e2aa52825f6d45efa6a,Dv3,0.01,1.0,3807,3712,3817,R3,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:d521355c85b44cab8d8ab49bc7dc3943,phm:d7739f7cc45f4587a4103d265513deab
dev:8c436c45e3464236a85990d9a0c59a50,Dv8,0.01,1.0,4596,4496,4606,R8,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:2bc5b081170f43eb968d3f978d93dd83,phm:57623b2268bc4238b24cb0de49925922
dev:8c4b95550fe24bb08aa7caab5bf8d8ef,Dv12,0.01,1.0,134,44,139,R12,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:cf40bf266d2841cd81234743ec19b31b,phm:870ce58b42cf4d1da8325e35596b799d
dev:8c5ddc9b66404286a024853427fdbb08,Dv4,0.01,1.0,970,880,980,R4,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:5c9663ebf8264ef681593d281da04057,phm:05318ac850da4cb5bebfa63111302bb2
dev:8c6764fbce024b59b5d7cefaed7fbf43,Dv10,0.01,1.0,0,4676,100,R10,"{""name"": ""norm"", ""params"": {""loc"": 336, ""scale"": 120}}",ma:6b5d76496f994b1a97373c764a47272c,phm:ccc0bf12cf04457db9d2f4ab1bed7a42
dev:8c6a28b14827439f80617fe47cf4f3ad,Dv9,0.01,1.0,4764,4664,4774,R9,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:1e5dc3ebc4024069944945556a8163cf,phm:ed4cf97005cd43f79cee109a42635188
dev:8c77e2d9e3d04a65a32260e2f01e2b4d,Dv13,0.01,1.0,3491,3396,3506,R13,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:6eff3d2ea37842b8a16bfc005dfe1013,phm:c6e60b0c7a084e048e7ae654192f4bb6
dev:8c86217afbe94e568f0e2a6522013569,Dv1,0.01,1.0,407,312,412,R1,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:f6607dfede7a4d879f88a9bf139fccdd,phm:b7ddaf8fdd794fafa50dc890ffef8bcb
dev:8c919ed59de24456919b981df8af0217,Dv13,0.01,1.0,3352,3252,3362,R13,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:4c637b7b2c1348bfb375a742e983b40b,phm:a0ed21f91f2d417d80a2c4b21154db96
